,CustomerID,Age,Gender,IncomeLevel,Country,City,TotalPurchases,AverageOrderValue,CustomerLifetimeValue,EmailEngagementRate,SocialMediaEngagementRate,MobileAppUsage,CustomerServiceInteractions,AverageSatisfactionScore,EmailConversionRate,SocialMediaConversionRate,SearchEngineConversionRate,RepeatCustomer,PremiumMember,HasReturnedItems,FavoriteCategory_Beauty,FavoriteCategory_Books,FavoriteCategory_Clothing,FavoriteCategory_Electronics,FavoriteCategory_Food,FavoriteCategory_Home Goods,FavoriteCategory_Sports,FavoriteCategory_Toys
0,CUST00001,25,Prefer not to say,Medium,Japan,Tokyo,4,15.8865094898746,507.6348731611465,0.3323645112525472,0.3796939474463288,High,0,6.240881371979748,0.1129550699684041,0.2399476718262589,0.1567757569395271,Yes,Yes,No,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
1,CUST00002,38,Prefer not to say,High,United Kingdom,London,6,27.63885265517557,181.72505557776844,0.3445742803594345,0.1409878658572782,Low,0,7.721916903681859,0.3009787413916798,0.2308210372350444,0.2907347701083934,Yes,No,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
2,CUST00003,43,Prefer not to say,High,France,Paris,10,161.73942548765393,1810.555149730028,0.409655976865889,0.3236597407867683,Low,0,7.899041671120684,0.21555484287003077,0.1322389023795836,0.0505054690076726,Yes,No,Yes,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
3,CUST00004,49,Female,High,United States,Los Angeles,5,14.19426270386776,86.21974007502905,0.3567648076203752,0.2684279445349143,Never,1,7.829458866718619,0.0740974453892843,0.2066438170585194,0.2810671495852702,Yes,Yes,No,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
4,CUST00005,29,Female,Very High,Japan,Tokyo,7,163.43783305610714,2112.5759449496786,0.2227030774055542,0.1604265636583856,High,2,7.777352694575424,0.1634376528824752,0.2324097764445833,0.326645087457617,Yes,No,No,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,CUST00002,57,Male,Low,Australia,Sydney,3,18.985494543115337,5.788113916694272,0.4839585668059574,0.2268742393362235,Low,2,4.059193595488387,0.1075970766821166,0.3207413885721604,0.3172167904534266,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
6,CUST00007,23,Prefer not to say,Very High,United States,Los Angeles,0,42.48791286775083,-74.76960172340253,0.5050866440772344,0.5691960628400938,Low,0,6.3398548487126245,0.3443784022496238,0.2237739702098927,0.1833133470417889,No,No,No,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
7,CUST00008,57,Other,Medium,Germany,Berlin,1,49.184461983612145,158.35204404950952,0.2996004251901696,0.4005337283727923,High,0,8.718546524046717,0.22022537834269745,0.449773749870613,0.1484009920303999,No,No,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
8,CUST00009,43,Prefer not to say,High,United States,New York,3,199.16379854508511,525.9858707942544,0.4004139559517628,0.3474263315652791,Low,0,6.912657289166478,0.055744047821995,0.2074916772064487,0.19222630016271,Yes,No,Yes,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
9,CUST00010,16,Prefer not to say,High,United States,Los Angeles,5,67.21954826669362,449.8829619824499,0.4709170181804331,0.4006357790003175,Medium,2,4.202159602641437,0.143863186214939,0.2503721005219939,0.1085016391814238,Yes,No,No,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
